signal	P(dit) 	P(dah)	P(spc)	P(chrspc)	P(wrdspc)	P(pause)
0.641679	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.574403	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.632876	0.000000	0.245753	0.437479	0.304615	0.000000	0.012152
0.250535	0.000037	0.000764	0.576658	0.413733	0.000000	0.008808
0.179062	0.000152	0.000125	0.570725	0.425359	0.000000	0.003638
0.162662	0.000435	0.000356	0.536782	0.458051	0.000000	0.004374
0.147986	0.027323	0.022359	0.148582	0.794147	0.000000	0.007590
0.183296	0.009319	0.007740	0.038541	0.935433	0.000013	0.008954
0.171212	0.003864	0.003649	0.021896	0.961337	0.000024	0.009230
0.163477	0.006652	0.008027	0.013807	0.961138	0.000067	0.010310
0.163911	0.000245	0.008956	0.012976	0.966556	0.000685	0.010582
0.129579	0.002344	0.039888	0.004074	0.942988	0.000265	0.010441
0.181517	0.000715	0.042020	0.002415	0.943660	0.000277	0.010914
0.112820	0.006683	0.145963	0.001394	0.835118	0.000268	0.010575
0.166779	0.498937	0.501063	0.000000	0.000001	0.000000	0.000000Q
0.561785	0.487322	0.512678	0.000000	0.000000	0.000000	0.000000U
0.627933	0.459129	0.540871	0.000000	0.000000	0.000000	0.000000
0.576371	0.352888	0.647112	0.000000	0.000000	0.000000	0.000000
0.588203	0.000000	0.273912	0.670243	0.044966	0.008703	0.002176
0.252790	0.000370	0.020976	0.952655	0.020934	0.004052	0.001013
0.172767	0.000377	0.000456	0.969474	0.023906	0.004629	0.001157
0.130656	0.005711	0.004690	0.950841	0.031203	0.006045	0.001511
0.159003	0.549993	0.450007	0.000000	0.000000	0.000000	0.000000
0.535443	0.552302	0.447698	0.000000	0.000000	0.000000	0.000000
0.584038	0.540859	0.459141	0.000000	0.000000	0.000000	0.000000
0.676305	0.507947	0.492053	0.000000	0.000000	0.000000	0.000000
0.650020	0.000000	0.690402	0.179893	0.103709	0.021354	0.004642
0.309985	0.000034	0.012518	0.614895	0.349647	0.018817	0.004091
0.143979	0.000686	0.000904	0.608777	0.362277	0.022471	0.004885
0.171010	0.001120	0.000926	0.577326	0.386140	0.028329	0.006159
0.140878	0.016736	0.013699	0.000010	0.889989	0.065358	0.014209
0.139127	0.000861	0.000746	0.000073	0.916240	0.067422	0.014658
0.126602	0.000887	0.000866	0.000086	0.915794	0.067657	0.014710
0.133867	0.000841	0.001095	0.000160	0.914935	0.068151	0.014817
0.123347	0.001777	0.006448	0.000729	0.907336	0.068760	0.014951
0.183254	0.002143	0.015163	0.000307	0.896792	0.070306	0.015289
0.155464	0.005173	0.044855	0.000330	0.861094	0.072731	0.015818
0.156247	0.007217	0.094813	0.000477	0.799717	0.080307	0.017469
0.134216	0.495432	0.504526	0.000000	0.000028	0.000011	0.000002
0.440217	0.487245	0.512755	0.000000	0.000000	0.000000	0.000000
0.698385	0.424520	0.575480	0.000000	0.000000	0.000000	0.000000
0.626391	0.385106	0.614894	0.000000	0.000000	0.000000	0.000000
0.617052	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.676447	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.689353	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.695878	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.675754	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.581681	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.684523	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.717715	0.000000	0.999998	0.000002	0.000000	0.000000	0.000000
0.500057	0.000000	0.958866	0.038429	0.002581	0.000000	0.000124
0.383289	0.000000	0.000012	0.934177	0.062774	0.000000	0.003037
0.122044	0.000014	0.000012	0.973665	0.025094	0.000000	0.001214I
0.126488	0.000021	0.000018	0.968040	0.030447	0.000000	0.001474
0.085820	0.549012	0.449194	0.001714	0.000076	0.000000	0.000004
0.418778	0.537528	0.462472	0.000000	0.000000	0.000000	0.000000
0.633401	0.567509	0.432491	0.000000	0.000000	0.000000	0.000000
0.665706	0.475898	0.524102	0.000000	0.000000	0.000000	0.000000
0.627304	0.000000	0.996205	0.002205	0.001271	0.000262	0.000057
0.388601	0.000007	0.453929	0.324573	0.205112	0.013454	0.002925
0.139200	0.000418	0.045726	0.551036	0.360218	0.034994	0.007608
0.163778	0.001960	0.004915	0.511527	0.430460	0.042006	0.009132
0.164760	0.488298	0.426471	0.028380	0.050076	0.005565	0.001210
0.307870	0.531169	0.468831	0.000000	0.000000	0.000000	0.000000
0.623425	0.507408	0.492592	0.000000	0.000000	0.000000	0.000000
0.589555	0.473763	0.526237	0.000000	0.000000	0.000000	0.000000
0.690715	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.703988	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.658847	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.615724	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.629394	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.681106	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.633863	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.557150	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.666365	0.000000	0.999882	0.000069	0.000048	0.000000	0.000002
0.448965	0.000000	0.000026	0.580006	0.403857	0.000000	0.016111
0.144783	0.000021	0.000017	0.587764	0.406190	0.000000	0.006008
0.142004	0.000214	0.000175	0.571028	0.421706	0.000000	0.006876
0.150966	0.122057	0.099884	0.379116	0.392540	0.000000	0.006403
0.273354	0.549595	0.450405	0.000000	0.000000	0.000000	0.000000
0.670873	0.553787	0.446213	0.000000	0.000000	0.000000	0.000000
0.666779	0.534548	0.465452	0.000000	0.000000	0.000000	0.000000
0.661613	0.451847	0.548135	0.000010	0.000006	0.000001	0.000000
0.455807	0.000000	0.000629	0.580663	0.334788	0.068935	0.014986
0.153263	0.000009	0.000008	0.617954	0.351349	0.025201	0.005479
0.116626	0.000323	0.000264	0.597208	0.367087	0.028846	0.006271
0.157010	0.000399	0.000327	0.516144	0.440931	0.034664	0.007536
0.124230	0.042356	0.034661	0.000004	0.830221	0.076193	0.016565
0.168154	0.005483	0.004725	0.000200	0.889974	0.081828	0.017789
0.164037	0.017702	0.016983	0.000390	0.867487	0.080037	0.017401
0.191679	0.029361	0.036198	0.002317	0.837299	0.077890	0.016935
0.163669	0.000760	0.099473	0.025135	0.783025	0.075245	0.016361
0.168605	0.004551	0.453603	0.005978	0.479470	0.046324	0.010074
0.204061	0.002812	0.857596	0.001666	0.122703	0.012503	0.002719
0.202945	0.001352	0.992737	0.000233	0.004850	0.000680	0.000148
0.251993	0.095628	0.904372	0.000000	0.000000	0.000000	0.000000
0.597034	0.465060	0.534940	0.000000	0.000000	0.000000	0.000000C
0.629400	0.460359	0.539641	0.000000	0.000000	0.000000	0.000000
0.614187	0.398077	0.601923	0.000000	0.000000	0.000000	0.000000
0.576615	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.637032	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.641534	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.571020	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.624803	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.627797	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.532429	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.632152	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.548488	0.000000	0.000730	0.933774	0.062724	0.000000	0.002772
0.162079	0.000155	0.000126	0.971551	0.026867	0.000000	0.001300
0.171478	0.000224	0.000184	0.967401	0.030704	0.000000	0.001486
0.135873	0.018554	0.015184	0.920958	0.043211	0.000000	0.002093
0.203236	0.549992	0.450008	0.000000	0.000000	0.000000	0.000000
0.679984	0.550637	0.449363	0.000000	0.000000	0.000000	0.000000
0.708445	0.536107	0.463893	0.000000	0.000000	0.000000	0.000000
0.677862	0.437838	0.562162	0.000000	0.000000	0.000000	0.000000
0.699147	0.000000	0.000007	0.581061	0.334975	0.068965	0.014992
0.118966	0.000001	0.000001	0.614356	0.354337	0.025716	0.005590
0.111189	0.000072	0.000059	0.598875	0.364967	0.029593	0.006433
0.159634	0.000452	0.000370	0.557797	0.396654	0.036740	0.007987
0.158740	0.549983	0.450017	0.000000	0.000000	0.000000	0.000000
0.659108	0.551275	0.448725	0.000000	0.000000	0.000000	0.000000
0.602188	0.539211	0.460789	0.000000	0.000000	0.000000	0.000000
0.692222	0.503029	0.496971	0.000000	0.000000	0.000000	0.000000
0.661208	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.736040	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.760345	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.692773	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.611826	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.751838	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.635145	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.677615	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.623714	0.000000	0.000000	0.580021	0.403867	0.000000	0.016112
0.119583	0.000008	0.000007	0.573461	0.420550	0.000000	0.005973
0.172299	0.000011	0.000009	0.544225	0.448756	0.000000	0.006999
0.130123	0.000309	0.000253	0.505930	0.484735	0.000000	0.008774
0.158606	0.003713	0.003039	0.000003	0.975569	0.000000	0.017675
0.151498	0.000061	0.000053	0.000021	0.982034	0.000002	0.017828
0.106918	0.000186	0.000183	0.000012	0.981723	0.000000	0.017895
0.174463	0.000371	0.000442	0.000025	0.981126	0.000002	0.018034
0.167282	0.000543	0.001613	0.000208	0.979301	0.000024	0.018312
0.176313	0.000475	0.002303	0.000084	0.978181	0.000010	0.018947
0.139043	0.002749	0.009062	0.000082	0.967865	0.000011	0.020232
0.165009	0.002421	0.013107	0.000121	0.960365	0.000013	0.023973
0.123108	0.166950	0.268147	0.000323	0.498384	0.000035	0.066161
0.164825	0.191583	0.659414	0.012143	0.003291	0.000156	0.133414
0.141968	0.118980	0.718810	0.031018	0.013132	0.000237	0.117823
0.118128	0.060731	0.828129	0.035194	0.019389	0.000137	0.056420
0.150986	0.000384	0.182334	0.463998	0.304488	0.000407	0.048389
0.138608	0.021690	0.358072	0.354540	0.233837	0.000136	0.031726
0.137166	0.042454	0.761547	0.106427	0.077664	0.000056	0.011853
0.192469	0.020650	0.916674	0.032502	0.025067	0.000045	0.005062
0.153101	0.015881	0.975674	0.003365	0.003939	0.000034	0.001106
0.183450	0.000018	0.986468	0.010534	0.002456	0.000177	0.000348
0.166636	0.000052	0.958811	0.037870	0.003037	0.000038	0.000192
0.127472	0.000246	0.976002	0.022175	0.001505	0.000006	0.000067
0.213376	0.000373	0.416053	0.545185	0.036629	0.000003	0.001758
0.170213	0.013449	0.010838	0.925810	0.047596	0.000004	0.002303
0.111228	0.092912	0.076242	0.814482	0.015600	0.000009	0.000755
0.153807	0.302063	0.233542	0.453168	0.010628	0.000088	0.000511
0.189414	0.472338	0.395498	0.124709	0.006720	0.000420	0.000315
0.183289	0.480202	0.485472	0.018780	0.012724	0.002249	0.000573
0.175041	0.272630	0.563529	0.095161	0.054919	0.011304	0.002458
0.142356	0.139479	0.710951	0.090464	0.047947	0.009166	0.001993
0.140546	0.040352	0.891167	0.042870	0.020867	0.003897	0.000847
0.169630	0.000135	0.983273	0.009624	0.005728	0.001015	0.000225
0.162538	0.000127	0.996252	0.002105	0.001419	0.000065	0.000032
0.189328	0.000079	0.979936	0.011616	0.008082	0.000043	0.000244
0.117118	0.000087	0.973324	0.015415	0.010755	0.000017	0.000403
0.151458	0.000066	0.900149	0.057866	0.040311	0.000006	0.001602
0.175833	0.000784	0.754755	0.141674	0.098842	0.000002	0.003943
0.187971	0.005280	0.448122	0.319274	0.219133	0.000001	0.008190
0.178797	0.560218	0.439199	0.000342	0.000234	0.000000	0.000007
0.616691	0.544024	0.455976	0.000000	0.000000	0.000000	0.000000
0.725605	0.507526	0.492474	0.000000	0.000000	0.000000	0.000000
0.623626	0.429615	0.570385	0.000000	0.000000	0.000000	0.000000
0.672487	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.619731	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.660146	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.679782	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.711556	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.711739	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.669632	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.724076	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.642590	0.000000	0.000033	0.580002	0.403853	0.000000	0.016111
0.173237	0.000021	0.000017	0.588258	0.405101	0.000000	0.006602
0.161346	0.000158	0.000129	0.577426	0.414529	0.000000	0.007759
0.158703	0.008533	0.006983	0.457593	0.517205	0.000000	0.009685
0.212720	0.549955	0.450045	0.000000	0.000000	0.000000	0.000000
0.692279	0.551721	0.448279	0.000000	0.000000	0.000000	0.000000
0.624405	0.539921	0.460079	0.000000	0.000000	0.000000	0.000000
0.707587	0.429443	0.570557	0.000000	0.000000	0.000000	0.000000
0.601075	0.000039	0.000377	0.580843	0.334835	0.068922	0.014983
0.170892	0.000043	0.000038	0.598389	0.363226	0.031463	0.006840
0.176773	0.000043	0.000035	0.594301	0.360455	0.037100	0.008065
0.130254	0.000483	0.000395	0.486428	0.455582	0.046913	0.010199
0.144952	0.549969	0.450031	0.000000	0.000000	0.000000	0.000000K
0.607109	0.537183	0.462817	0.000000	0.000000	0.000000	0.000000
0.644169	0.537370	0.462630	0.000000	0.000000	0.000000	0.000000
0.633228	0.429359	0.570641	0.000000	0.000000	0.000000	0.000000
0.641745	0.002822	0.026230	0.564203	0.325243	0.066947	0.014554
0.236486	0.000088	0.000253	0.598025	0.362977	0.031754	0.006903
0.174291	0.000185	0.000156	0.594048	0.360409	0.037129	0.008072
0.154203	0.004981	0.004077	0.482418	0.451831	0.046569	0.010124
0.194109	0.549959	0.450041	0.000000	0.000000	0.000000	0.000000
0.623305	0.537183	0.462817	0.000000	0.000000	0.000000	0.000000
0.595806	0.537370	0.462630	0.000000	0.000000	0.000000	0.000000
0.591490	0.429359	0.570641	0.000000	0.000000	0.000000	0.000000
