signal	P(dit) 	P(dah)	P(spc)	P(chrspc)	P(wrdspc)	P(pause)
0.700344	0.018936	0.981064	0.000000	0.000000	0.000000	0.000000
0.672567	0.010910	0.989090	0.000000	0.000000	0.000000	0.000000
0.725844	0.006396	0.993604	0.000000	0.000000	0.000000	0.000000
0.618327	0.003930	0.996070	0.000000	0.000000	0.000000	0.000000
0.616616	0.002768	0.997231	0.000000	0.000000	0.000000	0.000000
0.526020	0.000000	0.000031	0.580004	0.403794	0.000060	0.016110
0.169650	0.000018	0.000015	0.585800	0.406894	0.000058	0.007215
0.157427	0.000050	0.000041	0.572230	0.419248	0.000067	0.008366
0.131415	0.000265	0.000217	0.464072	0.524884	0.000084	0.010478
0.126256	0.007925	0.006486	0.108689	0.859586	0.000137	0.017177
0.152926	0.000850	0.000721	0.065116	0.914839	0.000155	0.018320
0.125953	0.000575	0.000527	0.037786	0.942013	0.000156	0.018944
0.121104	0.004846	0.004943	0.021589	0.949203	0.000160	0.019258
0.200618	0.001068	0.006187	0.013834	0.958750	0.000325	0.019836
0.158250	0.004841	0.028277	0.007130	0.939383	0.000162	0.020207
0.182418	0.003330	0.053048	0.004366	0.917490	0.000173	0.021594
0.140182	0.103150	0.530546	0.001317	0.354400	0.000084	0.010502
0.246336	0.497598	0.502402	0.000000	0.000000	0.000000	0.000000
0.577212	0.487241	0.512759	0.000000	0.000000	0.000000	0.000000O
0.688070	0.458284	0.541716	0.000000	0.000000	0.000000	0.000000
0.652873	0.336891	0.663109	0.000000	0.000000	0.000000	0.000000
0.567043	0.000095	0.001149	0.922015	0.061791	0.011960	0.002990
0.150014	0.000065	0.000058	0.962304	0.030254	0.005856	0.001464
0.151919	0.000120	0.000098	0.957743	0.033847	0.006553	0.001638
0.119837	0.003524	0.002884	0.937590	0.045086	0.008733	0.002183
0.159885	0.549998	0.450002	0.000000	0.000000	0.000000	0.000000
0.756972	0.537245	0.462755	0.000000	0.000000	0.000000	0.000000
0.686518	0.507993	0.492007	0.000000	0.000000	0.000000	0.000000
0.613191	0.460517	0.539483	0.000000	0.000000	0.000000	0.000000
0.695308	0.097146	0.902854	0.000000	0.000000	0.000000	0.000000
0.600044	0.057053	0.942947	0.000000	0.000000	0.000000	0.000000
0.661796	0.032972	0.967028	0.000000	0.000000	0.000000	0.000000
0.638067	0.018936	0.981064	0.000000	0.000000	0.000000	0.000000
0.624897	0.010910	0.989090	0.000000	0.000000	0.000000	0.000000
0.654772	0.006396	0.993604	0.000000	0.000000	0.000000	0.000000
0.686090	0.003930	0.996070	0.000000	0.000000	0.000000	0.000000
0.650322	0.002768	0.997232	0.000000	0.000000	0.000000	0.000000
0.729119	0.000000	0.000001	0.580022	0.403807	0.000060	0.016111
0.131295	0.000012	0.000010	0.585806	0.406899	0.000058	0.007215
0.172997	0.000010	0.000008	0.572271	0.419278	0.000067	0.008366
0.119839	0.000971	0.000795	0.463476	0.524210	0.000084	0.010465
0.179666	0.549962	0.450038	0.000000	0.000000	0.000000	0.000000
0.694663	0.537183	0.462817	0.000000	0.000000	0.000000	0.000000
0.567853	0.537370	0.462630	0.000000	0.000000	0.000000	0.000000
0.678051	0.429359	0.570641	0.000000	0.000000	0.000000	0.000000
0.696548	0.097146	0.902854	0.000000	0.000000	0.000000	0.000000
0.687686	0.057053	0.942947	0.000000	0.000000	0.000000	0.000000
0.683105	0.032972	0.967028	0.000000	0.000000	0.000000	0.000000
0.650059	0.018936	0.981064	0.000000	0.000000	0.000000	0.000000
0.641730	0.010910	0.989090	0.000000	0.000000	0.000000	0.000000
0.633886	0.006396	0.993604	0.000000	0.000000	0.000000	0.000000
0.660851	0.003930	0.996070	0.000000	0.000000	0.000000	0.000000
0.560226	0.002768	0.997232	0.000000	0.000000	0.000000	0.000000
0.758607	0.000000	0.000003	0.580021	0.403806	0.000060	0.016111
0.152983	0.000056	0.000046	0.585760	0.406867	0.000058	0.007215
0.199105	0.000051	0.000042	0.572228	0.419246	0.000067	0.008366
0.152410	0.001063	0.000870	0.463398	0.524122	0.000084	0.010463
0.178942	0.004615	0.003780	0.109360	0.864825	0.000139	0.017282
0.155558	0.001052	0.000890	0.065065	0.914529	0.000151	0.018313
0.155456	0.001856	0.001700	0.037696	0.939694	0.000156	0.018897
0.172443	0.004083	0.004921	0.021722	0.949827	0.000174	0.019272
0.184850	0.004357	0.035733	0.014577	0.925704	0.000460	0.019169
0.213612	0.003355	0.111321	0.006577	0.860095	0.000150	0.018501
0.176576	0.005362	0.306216	0.003404	0.669138	0.000133	0.015746
0.169836	0.008600	0.682292	0.002030	0.298165	0.000091	0.008822
0.176887	0.499668	0.500332	0.000000	0.000000	0.000000	0.000000
0.653679	0.506329	0.493671	0.000000	0.000000	0.000000	0.000000W
0.597199	0.458284	0.541716	0.000000	0.000000	0.000000	0.000000
0.639332	0.336891	0.663109	0.000000	0.000000	0.000000	0.000000
0.684009	0.076521	0.923478	0.000000	0.000000	0.000000	0.000000
0.666457	0.044523	0.955477	0.000000	0.000000	0.000000	0.000000
0.569808	0.025589	0.974412	0.000000	0.000000	0.000000	0.000000
0.615649	0.014648	0.985352	0.000000	0.000000	0.000000	0.000000
0.621871	0.008424	0.991576	0.000000	0.000000	0.000000	0.000000
0.644886	0.004931	0.995069	0.000000	0.000000	0.000000	0.000000
0.681748	0.003021	0.996979	0.000000	0.000000	0.000000	0.000000
0.669677	0.002103	0.997897	0.000000	0.000000	0.000000	0.000000
0.709161	0.000000	0.000036	0.934193	0.062752	0.000010	0.003009
0.169218	0.000023	0.000019	0.972893	0.025805	0.000011	0.001249
0.165322	0.000066	0.000054	0.967598	0.030779	0.000013	0.001490
0.139257	0.001348	0.001103	0.954332	0.041203	0.000017	0.001995
0.162438	0.549997	0.450003	0.000000	0.000000	0.000000	0.000000
0.615437	0.537237	0.462763	0.000000	0.000000	0.000000	0.000000
0.633745	0.508008	0.491992	0.000000	0.000000	0.000000	0.000000
0.677880	0.467977	0.532023	0.000000	0.000000	0.000000	0.000000
0.618929	0.000015	0.000141	0.580995	0.334922	0.068940	0.014987
0.144396	0.000025	0.000021	0.598883	0.363535	0.030833	0.006703
0.157547	0.000308	0.000252	0.595531	0.359504	0.036475	0.007930
0.168790	0.000920	0.000754	0.486475	0.455555	0.046243	0.010053
0.153758	0.051871	0.042470	0.106903	0.710829	0.072226	0.015702
0.200680	0.005509	0.004730	0.069685	0.818580	0.083371	0.018124
0.144316	0.002579	0.002479	0.040773	0.848527	0.086776	0.018866
0.119834	0.009345	0.011586	0.023285	0.849130	0.087606	0.019048
0.187002	0.001368	0.030916	0.019551	0.840216	0.088669	0.019280
0.168298	0.003971	0.122991	0.006929	0.764366	0.083569	0.018173
0.180299	0.001654	0.146830	0.004447	0.739439	0.088402	0.019228
0.115961	0.017879	0.549060	0.001937	0.364432	0.054776	0.011916
0.192949	0.024367	0.921013	0.002911	0.022656	0.023835	0.005218
0.172120	0.002667	0.963891	0.009394	0.011367	0.010234	0.002446
0.149681	0.002094	0.974016	0.011835	0.008921	0.002324	0.000810
0.181763	0.001486	0.884987	0.065568	0.044724	0.001252	0.001984
0.137069	0.000676	0.000553	0.582390	0.399622	0.000816	0.015943
0.090494	0.032296	0.026444	0.564894	0.368166	0.000855	0.007345
0.135319	0.080991	0.066889	0.487216	0.356932	0.000848	0.007124
0.141729	0.194103	0.164743	0.317715	0.316241	0.000869	0.006329
0.149102	0.412191	0.364156	0.028670	0.190094	0.001023	0.003866
0.145688	0.427348	0.474495	0.020396	0.074038	0.002021	0.001702
0.194078	0.342483	0.543247	0.055315	0.050223	0.006575	0.002156
0.128031	0.234708	0.688285	0.042285	0.028448	0.005031	0.001242
0.170162	0.032534	0.850050	0.067592	0.040074	0.007980	0.001769
0.155321	0.021020	0.968137	0.006234	0.003798	0.000662	0.000150
0.182338	0.012774	0.978934	0.004759	0.003125	0.000304	0.000105
0.167710	0.008115	0.981783	0.005829	0.003999	0.000135	0.000140
0.174517	0.004838	0.973511	0.012554	0.008688	0.000080	0.000328
0.170659	0.003154	0.811109	0.107701	0.074976	0.000084	0.002975
0.141008	0.004607	0.807248	0.111997	0.073173	0.000055	0.002920
0.160382	0.006044	0.800655	0.118467	0.071929	0.000035	0.002870
0.176876	0.005790	0.190740	0.468145	0.322918	0.000054	0.012353
0.146172	0.033901	0.441582	0.305717	0.214446	0.000088	0.004265
0.169926	0.050905	0.675520	0.156806	0.114163	0.000024	0.002582
0.194799	0.045132	0.793832	0.087945	0.071200	0.000036	0.001855
0.197678	0.026760	0.537599	0.251665	0.177322	0.000418	0.006236
0.095523	0.014004	0.736885	0.147492	0.097849	0.000829	0.002941
0.190887	0.011004	0.657505	0.193632	0.133335	0.000239	0.004285
0.134517	0.018632	0.702234	0.162783	0.112722	0.000144	0.003485
0.158977	0.126710	0.873187	0.000060	0.000041	0.000000	0.000001
0.593011	0.529713	0.470287	0.000000	0.000000	0.000000	0.000000
0.667971	0.510008	0.489992	0.000000	0.000000	0.000000	0.000000
0.622755	0.431140	0.568860	0.000000	0.000000	0.000000	0.000000
0.616952	0.072883	0.254029	0.391110	0.225507	0.046387	0.010084
0.209966	0.015465	0.087137	0.555793	0.304601	0.030397	0.006608
0.176697	0.003936	0.012025	0.585027	0.358534	0.033249	0.007228
0.147630	0.005710	0.006490	0.484423	0.452652	0.041667	0.009058
0.128977	0.549424	0.450570	0.000001	0.000004	0.000000	0.000000
0.499665	0.537183	0.462817	0.000000	0.000000	0.000000	0.000000
0.625166	0.537371	0.462630	0.000000	0.000000	0.000000	0.000000
0.668357	0.429359	0.570641	0.000000	0.000000	0.000000	0.000000
0.716723	0.010397	0.096626	0.518896	0.299125	0.061571	0.013385
0.247505	0.003275	0.032602	0.586586	0.339338	0.031378	0.006821
0.224256	0.000143	0.000275	0.593989	0.360361	0.037155	0.008077
0.129346	0.001111	0.000915	0.485841	0.455037	0.046899	0.010196
0.141071	0.549944	0.450029	0.000003	0.000021	0.000002	0.000000
0.472545	0.537183	0.462817	0.000000	0.000000	0.000000	0.000000
0.622499	0.537370	0.462630	0.000000	0.000000	0.000000	0.000000
0.652303	0.429359	0.570641	0.000000	0.000000	0.000000	0.000000
0.714590	0.097146	0.902854	0.000000	0.000000	0.000000	0.000000
0.615902	0.057053	0.942947	0.000000	0.000000	0.000000	0.000000
0.618214	0.032972	0.967028	0.000000	0.000000	0.000000	0.000000
0.665050	0.018936	0.981064	0.000000	0.000000	0.000000	0.000000
0.653493	0.010910	0.989090	0.000000	0.000000	0.000000	0.000000
0.625921	0.006396	0.993604	0.000000	0.000000	0.000000	0.000000
0.695883	0.003930	0.996070	0.000000	0.000000	0.000000	0.000000
0.693476	0.002768	0.997232	0.000000	0.000000	0.000000	0.000000
0.582478	0.003255	0.277369	0.417254	0.290489	0.000043	0.011590
0.332615	0.000002	0.000015	0.574267	0.416119	0.000231	0.009366
0.114872	0.000176	0.000144	0.590340	0.402379	0.000125	0.006837
0.167026	0.002875	0.002353	0.476639	0.509317	0.000158	0.008657
0.191653	0.546481	0.447402	0.001330	0.004691	0.000002	0.000094
0.372897	0.549100	0.450900	0.000000	0.000000	0.000000	0.000000
0.586551	0.537370	0.462630	0.000000	0.000000	0.000000	0.000000
0.641390	0.429359	0.570641	0.000000	0.000000	0.000000	0.000000
0.583227	0.097021	0.901691	0.000748	0.000431	0.000089	0.000019
0.393569	0.000918	0.015168	0.572878	0.331510	0.065326	0.014201
0.103257	0.001309	0.002521	0.588643	0.356436	0.041967	0.009123
0.182420	0.003301	0.003008	0.591899	0.344231	0.047281	0.010279
0.168056	0.007076	0.005810	0.473355	0.440130	0.060481	0.013148
0.148999	0.024891	0.020451	0.246890	0.606253	0.083388	0.018128
0.142586	0.036241	0.030344	0.153146	0.668162	0.092087	0.020020
0.178933	0.052953	0.049551	0.090077	0.690968	0.095655	0.020797
0.175223	0.155711	0.201154	0.042015	0.513612	0.071879	0.015629
0.203156	0.005618	0.542323	0.080650	0.313947	0.047199	0.010263
0.191693	0.005781	0.939031	0.004594	0.043282	0.006005	0.001306
0.224355	0.002370	0.985901	0.001449	0.008633	0.001353	0.000294
0.184454	0.003349	0.996595	0.000019	0.000032	0.000004	0.000001
0.369240	0.299098	0.700902	0.000000	0.000000	0.000000	0.000000
0.718432	0.957476	0.042524	0.000000	0.000000	0.000000	0.000000
0.618952	0.998996	0.001004	0.000000	0.000000	0.000000	0.000000
0.657067	0.999881	0.000119	0.000000	0.000000	0.000000	0.000000
0.617563	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.635772	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.753132	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.678455	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.666316	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.643915	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.655200	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.643610	0.988493	0.000000	0.010621	0.000713	0.000138	0.000035N
0.380084	0.000420	0.000000	0.923065	0.061609	0.011924	0.002981
0.156487	0.000024	0.000019	0.952275	0.038392	0.007431	0.001858
0.140178	0.000357	0.000292	0.946265	0.042742	0.008275	0.002069
0.153194	0.428911	0.351010	0.204372	0.012645	0.002449	0.000612
0.310446	0.543219	0.456781	0.000000	0.000000	0.000000	0.000000
0.616445	0.530089	0.469911	0.000000	0.000000	0.000000	0.000000
0.623988	0.488471	0.511529	0.000000	0.000000	0.000000	0.000000
0.618726	0.373111	0.626889	0.000000	0.000000	0.000000	0.000000
0.652027	0.146905	0.853095	0.000000	0.000000	0.000000	0.000000
0.674550	0.060813	0.939187	0.000000	0.000000	0.000000	0.000000
0.733141	0.037317	0.962683	0.000000	0.000000	0.000000	0.000000
0.682995	0.021265	0.978735	0.000000	0.000000	0.000000	0.000000
0.624490	0.013158	0.986842	0.000000	0.000000	0.000000	0.000000
0.716886	0.008479	0.991521	0.000000	0.000000	0.000000	0.000000
0.603657	0.005610	0.994390	0.000000	0.000000	0.000000	0.000000
0.717568	0.004025	0.995877	0.000057	0.000040	0.000000	0.000002
0.449917	0.000015	0.002397	0.578624	0.402777	0.000116	0.016071
0.225746	0.000006	0.000005	0.572617	0.419834	0.000088	0.007451
0.139379	0.000415	0.000339	0.571832	0.418956	0.000098	0.008360
0.184017	0.046422	0.038005	0.425080	0.480781	0.000113	0.009598
0.255375	0.549930	0.450070	0.000000	0.000000	0.000000	0.000000
0.760162	0.549266	0.450734	0.000000	0.000000	0.000000	0.000000
0.676400	0.537370	0.462630	0.000000	0.000000	0.000000	0.000000
0.616528	0.429359	0.570641	0.000000	0.000000	0.000000	0.000000
0.678668	0.097146	0.902854	0.000000	0.000000	0.000000	0.000000
0.676526	0.057053	0.942947	0.000000	0.000000	0.000000	0.000000
0.650668	0.032972	0.967028	0.000000	0.000000	0.000000	0.000000
0.703685	0.018936	0.981064	0.000000	0.000000	0.000000	0.000000
0.697103	0.010910	0.989090	0.000000	0.000000	0.000000	0.000000
0.599564	0.006396	0.993604	0.000000	0.000000	0.000000	0.000000
0.674667	0.003930	0.996070	0.000000	0.000000	0.000000	0.000000
0.642989	0.002768	0.997231	0.000000	0.000000	0.000000	0.000000
0.531462	0.000004	0.000320	0.579835	0.403676	0.000060	0.016106
0.223173	0.000043	0.000036	0.585771	0.406875	0.000058	0.007217
0.188691	0.000052	0.000043	0.572227	0.419246	0.000067	0.008366
0.146817	0.000264	0.000216	0.464073	0.524885	0.000084	0.010478
0.139901	0.012972	0.010618	0.107677	0.851581	0.000136	0.017017
0.177733	0.004222	0.003597	0.064749	0.909069	0.000159	0.018205
0.177248	0.003437	0.003282	0.037734	0.936536	0.000175	0.018836
0.155013	0.008695	0.011089	0.021780	0.939167	0.000209	0.019061
0.183651	0.001273	0.032494	0.018723	0.927298	0.000953	0.019260
0.174424	0.000976	0.050584	0.007026	0.921227	0.000370	0.019816
0.138420	0.002849	0.113733	0.004132	0.858699	0.000378	0.020209
0.148965	0.028839	0.582316	0.001564	0.375937	0.000208	0.011137
0.213785	0.499004	0.500996	0.000000	0.000000	0.000000	0.000000
0.586578	0.487241	0.512759	0.000000	0.000000	0.000000	0.000000W
0.614241	0.458284	0.541716	0.000000	0.000000	0.000000	0.000000
0.667808	0.336891	0.663109	0.000000	0.000000	0.000000	0.000000
0.612060	0.076521	0.923478	0.000000	0.000000	0.000000	0.000000
0.648607	0.044523	0.955477	0.000000	0.000000	0.000000	0.000000
0.574080	0.025589	0.974412	0.000000	0.000000	0.000000	0.000000
0.594623	0.014648	0.985352	0.000000	0.000000	0.000000	0.000000
0.627070	0.008424	0.991576	0.000000	0.000000	0.000000	0.000000
0.658264	0.004931	0.995069	0.000000	0.000000	0.000000	0.000000
0.698021	0.003021	0.996979	0.000000	0.000000	0.000000	0.000000
0.550655	0.002103	0.997897	0.000000	0.000000	0.000000	0.000000
0.551378	0.000001	0.000254	0.933988	0.062738	0.000010	0.003008
0.177746	0.000086	0.000071	0.972768	0.025815	0.000011	0.001249
0.167869	0.000434	0.000355	0.966951	0.030758	0.000013	0.001489
0.158957	0.007007	0.005735	0.944486	0.040780	0.000017	0.001975
0.182441	0.549995	0.450005	0.000000	0.000000	0.000000	0.000000
0.659660	0.537237	0.462763	0.000000	0.000000	0.000000	0.000000
0.627123	0.508007	0.491993	0.000000	0.000000	0.000000	0.000000
0.825778	0.467894	0.532106	0.000000	0.000000	0.000000	0.000000
0.574882	0.000005	0.000052	0.581052	0.334955	0.068947	0.014989
0.142665	0.000038	0.000031	0.598859	0.363520	0.030847	0.006706
0.180236	0.000571	0.000467	0.595211	0.359350	0.036472	0.007929
0.195636	0.001703	0.001395	0.485772	0.454897	0.046191	0.010042
0.181487	0.549969	0.450031	0.000000	0.000000	0.000000	0.000000
0.700096	0.549992	0.450008	0.000000	0.000000	0.000000	0.000000
0.639375	0.537370	0.462630	0.000000	0.000000	0.000000	0.000000
0.757465	0.429359	0.570641	0.000000	0.000000	0.000000	0.000000
0.675889	0.000041	0.000381	0.580840	0.334834	0.068921	0.014983
0.195462	0.000003	0.000003	0.598261	0.363158	0.031687	0.006888
0.148625	0.000023	0.000019	0.594226	0.360518	0.037140	0.008074
0.140454	0.000095	0.000078	0.486743	0.455882	0.046987	0.010215
0.127201	0.549969	0.450031	0.000000	0.000000	0.000000	0.000000
0.605264	0.537183	0.462817	0.000000	0.000000	0.000000	0.000000
0.627933	0.537371	0.462630	0.000000	0.000000	0.000000	0.000000
0.645672	0.429359	0.570641	0.000000	0.000000	0.000000	0.000000
0.693507	0.097146	0.902854	0.000000	0.000000	0.000000	0.000000
0.699185	0.057053	0.942947	0.000000	0.000000	0.000000	0.000000
0.704508	0.032972	0.967028	0.000000	0.000000	0.000000	0.000000
0.711896	0.018936	0.981064	0.000000	0.000000	0.000000	0.000000
0.633780	0.010910	0.989090	0.000000	0.000000	0.000000	0.000000
0.663507	0.006396	0.993604	0.000000	0.000000	0.000000	0.000000
0.661281	0.003930	0.996070	0.000000	0.000000	0.000000	0.000000
0.585777	0.002768	0.997232	0.000000	0.000000	0.000000	0.000000
0.642382	0.000000	0.000011	0.580016	0.403803	0.000060	0.016111
0.170371	0.000017	0.000014	0.585801	0.406895	0.000058	0.007215
0.173293	0.000052	0.000042	0.572228	0.419246	0.000067	0.008366
0.149913	0.000265	0.000217	0.464072	0.524884	0.000084	0.010478
0.143053	0.009138	0.007480	0.108445	0.857661	0.000137	0.017139
0.171243	0.002361	0.002007	0.064943	0.912265	0.000155	0.018268
0.167589	0.001897	0.001793	0.037756	0.939496	0.000164	0.018894
0.151731	0.001616	0.002039	0.021906	0.954879	0.000184	0.019376
0.140309	0.001565	0.008753	0.013624	0.955978	0.000304	0.019776
0.181663	0.001684	0.019936	0.007220	0.950549	0.000164	0.020447
0.156870	0.004929	0.065951	0.004272	0.903413	0.000172	0.021263
0.165539	0.018193	0.282887	0.002632	0.676081	0.000173	0.020035
0.181361	0.054320	0.838725	0.003893	0.084592	0.000147	0.018322
0.163994	0.007275	0.950551	0.008378	0.025761	0.000065	0.007972
0.156811	0.005408	0.971188	0.011392	0.009969	0.000016	0.002027
0.183496	0.003659	0.908137	0.050921	0.035181	0.000013	0.002089
0.151819	0.001355	0.001109	0.582152	0.399315	0.000046	0.016022
0.147039	0.058652	0.048053	0.536584	0.349714	0.000020	0.006977
0.171817	0.199688	0.165859	0.363106	0.265989	0.000046	0.005311
0.200939	0.335864	0.297744	0.182203	0.180099	0.000446	0.003644
0.164926	0.432801	0.424231	0.028373	0.110250	0.001922	0.002423
0.142200	0.283163	0.534235	0.073995	0.097063	0.008606	0.002937
0.147890	0.154813	0.629836	0.101615	0.098598	0.012144	0.002993
0.120201	0.109219	0.802637	0.046998	0.036454	0.003753	0.000939
0.149269	0.026124	0.955442	0.010323	0.006623	0.001208	0.000281
0.215007	0.008550	0.985179	0.003652	0.002352	0.000206	0.000061
0.164669	0.005428	0.987624	0.004031	0.002750	0.000080	0.000089
0.181138	0.003428	0.970041	0.015381	0.010656	0.000084	0.000411
0.145495	0.002272	0.932302	0.037895	0.026413	0.000062	0.001055
0.143135	0.001927	0.506232	0.285130	0.198730	0.000052	0.007929
0.135146	0.009718	0.110457	0.516831	0.351384	0.000055	0.011555
0.116637	0.041624	0.188817	0.442549	0.323270	0.000033	0.003707
0.133468	0.100238	0.316051	0.310205	0.270333	0.000035	0.003137
0.159210	0.245385	0.525492	0.094307	0.133008	0.000068	0.001740
0.191174	0.261396	0.630292	0.041987	0.064663	0.000340	0.001322
0.193202	0.265201	0.654873	0.043666	0.033704	0.001419	0.001137
0.199988	0.209452	0.699798	0.052535	0.034145	0.002648	0.001422
0.187706	0.032549	0.699122	0.155354	0.097699	0.011128	0.004147
0.130040	0.031020	0.871877	0.061620	0.033195	0.001298	0.000990
0.177196	0.018647	0.942570	0.022283	0.015399	0.000496	0.000604
0.176639	0.014128	0.985870	0.000001	0.000001	0.000000	0.000000
0.638455	0.008790	0.991210	0.000000	0.000000	0.000000	0.000000
0.720970	0.005499	0.994501	0.000000	0.000000	0.000000	0.000000
0.669314	0.003573	0.996427	0.000000	0.000000	0.000000	0.000000
0.691884	0.000621	0.223746	0.449890	0.312799	0.000454	0.012489
0.115840	0.001170	0.006328	0.571694	0.409853	0.000377	0.010578
0.113745	0.006093	0.005924	0.556244	0.426433	0.000455	0.004851
0.117235	0.101811	0.082543	0.431546	0.378654	0.000473	0.004974
0.183107	0.551123	0.448876	0.000000	0.000000	0.000000	0.000000
0.579690	0.537243	0.462757	0.000000	0.000000	0.000000	0.000000
0.624241	0.537370	0.462630	0.000000	0.000000	0.000000	0.000000
0.585844	0.429359	0.570641	0.000000	0.000000	0.000000	0.000000
0.720424	0.097146	0.902854	0.000000	0.000000	0.000000	0.000000
0.669571	0.057053	0.942947	0.000000	0.000000	0.000000	0.000000
0.684748	0.032972	0.967028	0.000000	0.000000	0.000000	0.000000
0.654574	0.018936	0.981064	0.000000	0.000000	0.000000	0.000000
0.663104	0.010910	0.989090	0.000000	0.000000	0.000000	0.000000
0.610137	0.006396	0.993604	0.000000	0.000000	0.000000	0.000000
0.598976	0.003930	0.996070	0.000000	0.000000	0.000000	0.000000
0.681627	0.002768	0.997232	0.000000	0.000000	0.000000	0.000000
0.678710	0.000001	0.000059	0.579988	0.403783	0.000060	0.016110
0.183683	0.000019	0.000016	0.585798	0.406893	0.000058	0.007216
0.161533	0.000816	0.000667	0.571433	0.418663	0.000067	0.008354
0.197408	0.006535	0.005354	0.458776	0.518891	0.000083	0.010359
0.207388	0.549927	0.450073	0.000000	0.000000	0.000000	0.000000
0.569077	0.549275	0.450725	0.000000	0.000000	0.000000	0.000000
0.630610	0.537370	0.462630	0.000000	0.000000	0.000000	0.000000
0.692437	0.429359	0.570641	0.000000	0.000000	0.000000	0.000000
0.610391	0.097146	0.902854	0.000000	0.000000	0.000000	0.000000
0.694634	0.057053	0.942947	0.000000	0.000000	0.000000	0.000000
0.683900	0.032972	0.967028	0.000000	0.000000	0.000000	0.000000
0.705651	0.018936	0.981064	0.000000	0.000000	0.000000	0.000000
0.652632	0.010910	0.989090	0.000000	0.000000	0.000000	0.000000
0.747853	0.006396	0.993604	0.000000	0.000000	0.000000	0.000000
0.713520	0.003930	0.996070	0.000000	0.000000	0.000000	0.000000
0.593905	0.002768	0.997232	0.000000	0.000000	0.000000	0.000000
0.646495	0.000013	0.001087	0.579385	0.403363	0.000060	0.016093
0.249682	0.000001	0.000001	0.585813	0.406904	0.000058	0.007222
0.129648	0.000044	0.000036	0.572235	0.419252	0.000067	0.008366
0.150290	0.005239	0.004287	0.459873	0.520135	0.000083	0.010384
0.216605	0.549917	0.450083	0.000000	0.000000	0.000000	0.000000
0.551223	0.549235	0.450765	0.000000	0.000000	0.000000	0.000000
0.618486	0.537370	0.462630	0.000000	0.000000	0.000000	0.000000
0.635725	0.429359	0.570641	0.000000	0.000000	0.000000	0.000000
0.686319	0.097146	0.902854	0.000000	0.000000	0.000000	0.000000
0.632844	0.057053	0.942947	0.000000	0.000000	0.000000	0.000000
0.696652	0.032972	0.967028	0.000000	0.000000	0.000000	0.000000
0.703946	0.018936	0.981064	0.000000	0.000000	0.000000	0.000000
0.640057	0.010910	0.989090	0.000000	0.000000	0.000000	0.000000
0.622583	0.006396	0.993604	0.000000	0.000000	0.000000	0.000000
0.600019	0.003930	0.996070	0.000000	0.000000	0.000000	0.000000
0.678988	0.002768	0.997232	0.000000	0.000000	0.000000	0.000000
0.612967	0.000208	0.017717	0.569625	0.396569	0.000059	0.015822
0.284473	0.000161	0.000270	0.585492	0.406683	0.000067	0.007326
0.208150	0.000039	0.000032	0.572241	0.419254	0.000067	0.008366
0.133736	0.000417	0.000341	0.463944	0.524740	0.000084	0.010476
0.145168	0.010442	0.008548	0.108185	0.855591	0.000137	0.017097
0.166767	0.000876	0.000746	0.065132	0.914771	0.000157	0.018318
0.127787	0.001049	0.000963	0.037757	0.941149	0.000156	0.018926
0.145261	0.001367	0.001588	0.021784	0.955704	0.000167	0.019391
0.151419	0.000614	0.002769	0.013267	0.963180	0.000251	0.019919
0.145918	0.002415	0.009490	0.007280	0.959999	0.000165	0.020651
0.165648	0.004129	0.024647	0.004431	0.944389	0.000178	0.022227
0.153962	0.022000	0.119727	0.002885	0.830575	0.000197	0.024617
0.176705	0.499902	0.500098	0.000000	0.000000	0.000000	0.000000
0.525380	0.487241	0.512759	0.000000	0.000000	0.000000	0.000000 
0.626997	0.458284	0.541716	0.000000	0.000000	0.000000	0.000000
0.674803	0.336891	0.663109	0.000000	0.000000	0.000000	0.000000
0.754009	0.055771	0.673056	0.250337	0.016777	0.003247	0.000812
0.304443	0.000156	0.003040	0.951065	0.036829	0.007129	0.001782
0.139494	0.003108	0.002848	0.950470	0.035083	0.006793	0.001698
0.211902	0.002101	0.001725	0.932935	0.050912	0.009862	0.002465
0.158303	0.549851	0.449937	0.000144	0.000055	0.000011	0.000003
0.403345	0.549189	0.450811	0.000000	0.000000	0.000000	0.000000
0.656130	0.537370	0.462630	0.000000	0.000000	0.000000	0.000000
0.686066	0.429359	0.570641	0.000000	0.000000	0.000000	0.000000
0.686128	0.097107	0.902491	0.000233	0.000134	0.000028	0.000006
0.428026	0.001327	0.021927	0.568778	0.329051	0.064825	0.014092
0.146511	0.000150	0.000351	0.590608	0.357623	0.042112	0.009155
0.160058	0.000310	0.000258	0.595320	0.346220	0.047555	0.010338
0.135135	0.544363	0.445455	0.004882	0.004540	0.000624	0.000136
0.386159	0.537938	0.462062	0.000000	0.000000	0.000000	0.000000
0.715861	0.547872	0.452128	0.000000	0.000000	0.000000	0.000000
0.651991	0.431140	0.568860	0.000000	0.000000	0.000000	0.000000
